Timestamp,What name do you want to be listed by?,What is your Mastodon handle (@user@instance.name)?,Do you have a Twitter handle you would like to share? (This can help people you know on Twitter to find you on Mastodon),"What are your main areas of specialization or interest (legal theory, tort law, international tax, etc.)?",Jurisdictions of interest?,Other info for short self-description,"If another list of Mastodon accounts is created that overlaps with those interested in law is created, may we share the info here with that list?"
11/5/2022 18:07:43,Blake Reid,@blakereid@mastodon.social,@blakereid,"Tech, telecom, IP, 1A, disability",US,,Yes

11/5/2022 18:07:47,Nathan Richardson,@nathanrichardson@mastodon.social,@ndrichardson,"Environmental, admin, property","US, federal, FL",Professor at Jacksonville University,Yes

11/5/2022 18:08:18,Beth Wilensky,@bethwilensky@mastodon.social,@bethwilensky,"Legal Writing, Research, Analysis (LRW)",,"Clinical Professor, University of Michigan Law School",Yes

11/5/2022 18:10:41,Sarah Lamdan,@SarahLamdan@mastodon.social,@greenarchives1,"administrative law, open government & FOIA, data privacy",,"Law Prof with a masterâs degree in library science who researches information law topics. Just finished my most recent book, âData Cartelsâ about data analytics companies, information access, and data privacy.",Yes

11/5/2022 18:11:47,Edward Swaine,@edswaine@mastodon.social,@edswaine,"international law, foreign relations law, contracts, antitrust",,,Yes

11/5/2022 18:16:41,Ellen Henak,@ehenak@mastodon.coffee,@ehenak,Criminal appellate,"Wisconsin, federal",Also habeas and postconviction. Retired legal writing professor,Yes

11/5/2022 18:23:52,Jonah B. Gelbach,@gelbach@econtwitter.net,@gelbach,"civpro, statutory interpretation, evidence, securities litigation, all things microeconomics/cross-sectional and microeconometrics","US, personal, subject matter",I've quit Twitter more than anyone else,Yes

11/5/2022 18:26:05,Margaret Hannon,@mch_mastodon@mastodon.social,@mch_tweets,"Legal research and writing, employment law",,,Yes

11/5/2022 18:26:05,odowdt,@odowdt@mastodon.ie,@odowdt,"Constitutional Law, Human Rights, Media Law","Ireland, India",I am a lecturer at UCD Sutherland School of Law,Yes

11/5/2022 18:29:28,Jeff Baker ,@jrbprof@mstdn.social,@jrbprof,"Clinical Ed; social, racial and gender justice; human rights; jurisprudence ","USA, California, Mississippi, Alabama ",Clinical law prof,Yes

11/5/2022 18:35:51,P. Christian Adamski,@modalpenalcode@toot.community,@modalpenalcode,"Criminal law, appellate law, prosecution",Pennsylvania,I'm an appellate prosecutor,Yes

11/5/2022 18:39:48,Ido Kilovaty,@idokilovaty@mastodon.social,idokilovaty,"Cybersecurity law, computer crime law, law and technology",,,Yes

11/5/2022 18:46:12,Tommy Bennett,@tbb@fosstodon.org,@tommy_bennett,"Federal courts, civil procedure, constitutional law",U.S.,Associate Professor @ Mizzou Law,Yes

11/5/2022 18:54:20,Madison Condon,@madisoncondon@mastodon.social ,@MadisonECondon,,,,Yes

11/5/2022 18:55:33,Jameel Jaffer,@jameeljaffer@mastodon.social,@jameeljaffer,"US con law, international human rights, free speech, national security",Mainly US,"Director, Knight First Amendment Institute at Columbia University",Yes

11/5/2022 19:08:35,Greg Siskind,@gsiskind@mastodon.social,@gsiskind,Immigration,Federal/national,Immigration lawyer since 1990. Author of 8 books. Creator of 1st immigration law web site. Currently developing expert system software for immigration lawyers and working on mass immigration-related litigation.  ,Yes

11/5/2022 19:28:02,Robert Tsai,@roberttsai@mstdn.social,robertltsai ,"Constitutional theory, legal history",,,Yes

11/5/2022 19:29:15,Evan C Zoldan,@eczoldan@mstdn.social,@eczoldan,"Legislation, separation of powers, administrative law.",US,,Yes

11/5/2022 19:33:25,LJ Maher,@Littleread@mastodon.world,Littleread,"Law and Literature, Legal Ethics, Legal Writing","Australia, UK",Quaintrelle. Settler-Coloniser on Stolen Land. Solid Eyebrow Game. Prone to uhtceare. Transmedial Life-Writing/Lit & Law/Music & Memoir. She/Her.,Yes

11/5/2022 19:41:43,Chelsea Walker,@seawalker@freeradical.zone,@ohmygasch0,"legal theory, ethics and compliance",Mississippi,"Associate @ Young Wells in Ridgeland, MS",Yes

11/5/2022 19:44:08,Gaby Goldstein,@Gabygoldstein@mstdn.social,@gaby__goldstein,"federalism, state legislatures, redistricting","US, states",,Yes

11/5/2022 19:55:52,Matthias Smed Larsen,@Matthias@mastodon.coffee,MatthiasSmed,"Human rights, mental health law, health law, social law, administrative law","Nordic countries, international law",LL.M. student (finishing 2023) at University of Copenhagen.,Yes

11/5/2022 20:49:14,Jessica Herrera-Flanigan,@jesirae@mas.to,@jesirae,"Public policy, national security, communications, Native American Law",,,Yes

11/5/2022 21:22:23,Colin McRoberts,@colin@mas.to,@Kolyin,"Business law, litigation, conspiracy theories",,"Teaching law at a business school, and teaching/writing about conspiracy theories",Yes

11/5/2022 21:24:39,Peter Ormerod,@ormerod@mastodon.social,@pormerod,"Information privacy law, law & tech, consumer protection",,Assistant professor of law NIU ,Yes

11/5/2022 21:34:00,Richard Ashby Wilson,@richardashbywilson@mastodon.scot,@richardawilson7,"Human rights, transitional justice,  international criminal law","International Criminal Court,  United States,  United Kingdom ",Professor of Law and Anthropology at University of Connecticut School of Law ,Yes

11/5/2022 21:48:31,NiccolÃ² Ridi,@niccoloridi@mastodon.social,@niccoloridi,"International law, international courts, foreign relations law, international organizations, computational analysis","International, England & Wales, EU, US, Italy","Assistant Professor in Public International Law, King's College London; Research Fellow, iCourts, University of Copenhagen",Yes

11/5/2022 21:52:20,Daniel Rice,@DanielRice@mas.to,@daniel_b_rice,"Con Law, Native American Law",,"Assistant Professor, University of Arkansas",Yes

11/5/2022 22:00:28,Alexandra Phelan,@alexandraphelan@mastodon.social,@alexandraphelan,"International Law, Global Health Law, Climate Law","US, Australia, China","Assistant Professor, Georgetown University ",Yes

11/5/2022 22:07:03,Camille Goodman,@camillejgoodman@aus.social,@camillejgoodman,"international law, law of the sea, fisheries, offshore renewable energy","Australia, the Pacific, the world","Law of the sea 'pracademic' based in Canberra and working at ANCORS, UOW. ",Yes

11/5/2022 22:17:09,Bethany Berger,@bethanyrberger@mstdn.social,@bethanyrberger,"Property, Federal Indian Law, Legal History",,,Yes

11/5/2022 22:31:28,Nathan de Arriba-Sellier,@n@mastodon.green,@ArribaSellier,"Financial regulation, ad law, sec reg, environmental law",EU & US,Postdoc & lecturer at Yale - Research Director of the Yale Initiative on Sustainable Finance,Yes

11/5/2022 22:45:18,Steven Mazie,@stevenmazie@mastodon.world,@stevenmazie,"Con law, jurisprudence, legal & political theory ",,Political scientist & SCOTUS correspondent for The Economist since 2012,Yes

11/5/2022 22:50:39,Christine Corcos,@LpcProf@mastodon.social,LpcProf,"Law and humanities, legal history, First Amendment, law and magic, privacy, torts, ",,,Yes

11/5/2022 23:12:35,Maggie Wittlin,@maggiewittlin@mastodon.social,maggiewittlin,evidence,,Also part of the crosswords & puzzles community,No

11/5/2022 23:18:02,Steph Jowett,@stephjowett@mastodon.lol,@stephaniejowett,"Health law, childrenâs consent","Australia, UK, US, Canada, NZ",,Yes

11/5/2022 23:40:22,Odile Ammann,@odileammann@mastodon.social,@odileammann,"Constitutional law, public international law, legal theory","Switzerland, USA, EU, Germany, France",,Yes

11/5/2022 23:43:17,Liam Elphick,@liamelphick@aus.social,@LiamElphick_,"discrimination law, tort law, sports law, legal education","Australia, UK, New Zealand, Canada",Lecturer at Monash University Faculty of Law,Yes

11/5/2022 23:49:49,Jed Shugerman,@Jedshug@mastodon.social,@jedshug,"Legal history, Torts, Admin, Con law",,,Yes

11/5/2022 23:52:54,Jorge Sanchez-Perez,@Sanchez_Perez_J@fediscience.org,@Sanchez_Perez_J,"Legal Theory, Legal Pluralism, Constitutional Theory",Global,"Academic philosopher and trained lawyer with an interest in the boundaries between law and morality, and legal systems.",Yes

11/6/2022 0:02:51,Paul Kidd,@paulkidd@aus.social,@paulkidd,"Crime, disease, HIV, risk, gender, consent",Australia; global ,Practising criminal lawyer and activist against HIV criminalisation,Yes

11/6/2022 0:02:52,Frank Bennett,@fgbjr@indieweb.social,@fgbjr,"Reference management, research tools, LRW","US, UK, EU, Japan","I maintain Jurism, a variant of the Zotero reference manager with support for legal and multilingual materials.",Yes

11/6/2022 0:05:41,J. Stephen Clark,@JStephenClark@mstdn.social,@JStephenClark,"Constitutional law, conflict of laws, labor and employment law, LGBT law",U.S.,"Law Prof, Albany Law School",Yes

11/6/2022 0:12:27,Kimberly DeCarrera ,@decarrera@masthead.social,DeCarrera,Corporate law / contracts / tax / finance / employment / governance ,Georgia / USA,Outside general counsel for startups and high growth companies,Yes

11/6/2022 0:15:31,Sonya Herridge,@sonyah@mastodon.social,Sonyaherridge,"International law, immigration/asylum law",US,,Yes

11/6/2022 0:17:40,Jessica A. Levinson,@LevinsonJessica@mstdn.social,@LevinsonJessica,"Constitutional Law, First Amendment, Election Law, SCOTUS",,"Clinical law prof, Loyola Law School 
Contributor, CBS News, MSNBC & KCRW 
Host, Passing Judgment podcast ",Yes

11/6/2022 0:23:45,Ryan J. Suto,@RyanJSuto@c.im,@RyanJSuto,"Voting Rights, civil rights, constitutional law, international law",US federal,,Yes

11/6/2022 0:29:24,Sonia Lawrence,@sonialawprof@mas.to,@sonialawprof,"Constitutional law, equality and anti discrimination law, race and law, feminism and law",Canada,Law prof at Osgoode Hall Law School in Toronto ,Yes

11/6/2022 0:36:12,Sarah Matsumoto ,@HelloSMoto@mastodon.online,@HelloSMoto,"Environmental justice, environmental law, litigation, administrative law, food justice, clinical legal ed.","Oregon, Colorado, Washington, Alaska, 9th, 10th",Willamette University College of Law ,Yes

11/6/2022 1:12:19,Hyo Yoon Kang,@hyoyoonkang@zirk.us,hyoyoonkang,"intellectual property, history of sciences, law & humanities, theories",,,No

11/6/2022 1:38:29,Jake Okechukwu,@okechukwu@c.im,https://twitter.com/effodu,"Human Rights, Artificial Intelligence ",Sub Saharan Africa,"Ph.D. candidate at Osgoode Hall Law School, Canada. Researching on effects of AI on human rights praxis across Africa. Author of ""A Decade at the Bar"". Oxford Alum. Nigerian. (pronouns: he/him).",Yes

11/6/2022 1:05:02,NicolÃ¡s Carrillo,@nicolascs@bhre.social,@nicolascs,"International law, non-state actors, business and human rights, philosophy of law, human rights, Inter-American system","International law, Americas, Colombia",,Yes

11/6/2022 1:46:04,Jane Gordon,@JanesAmerica@mas.to,JanesAmerica,"Tort law, access to Justice, criminal justice reform. ",Idaho,Personal injury lawyer in idaho. General loudmouth. ,Yes

11/6/2022 2:02:32,Rain Liivoja,@liivoja@aus.social,@rainliivoja,"international law (especially law of armed conflict), military justice",,University of Queensland Law School,Yes

11/6/2022 2:11:57,Beth Nosworthy,@bethnosworthy@mastadon.social,@bethnosworthy,Corporate law,"Australia, NZ, UK",,Yes

11/6/2022 2:14:05,Repealist_,@Repealist_@mastodon.ie,twitter.com/Repealist_,"Medical Ethics, Judicial Review, Constitutional law, contact law, competition law, medical negligence, personal injury, employment law","Ireland, E&W","Current psychiatrist and clinical tutor, future barrister aspirant",Yes

11/6/2022 2:31:59,Marco Rizzi,@marcorizzi@aus.social,@marcorizzi83,"Tort law, risk regulation, health law and policy, law and technology ",World,,Yes

11/6/2022 2:44:42,Brad Newman,@bradnewman@mastodon.online,@legaltechIRL,Legal technology ,America,,Yes

11/6/2022 3:44:00,David Friedman,@prodaf@masthead.social,@profdaf,"Torts, consumer law",Oregon ,Willamette law,Yes

11/6/2022 3:49:13,Hanjo Hamann,@h2@sciences.social,@HanjoHamann,"contract law, corporate law, empirical legal studies, legal linguistics, law and economics, private law, civil law","Germany, US, China","Assistant Professor at EBS University in Wiesbaden, Germany",Yes

11/6/2022 3:52:55,Dr S Chelvan ,@S_Chelvan@mas.to,@S_Chelvan ,"Refugee Law, LGBTQ+ , Law and Policy, and  International Human Rights Law","International, UK","Barrister, Head of Immigration and Public Law, 33 Bedford Row Chambers (London), and Visiting Adjunct Professor, Centre for International Law and Globalisation, University of Southampton ",Yes

11/6/2022 3:59:03,Kim Barker ,@babylegaleagle@mastodon.social,@babylegaleagle,"Law & technology, Social media regulation, online violence, OVAW, VAWG, online harms, IP, games ",UK / Europe / Commonwealth ,,Yes

11/6/2022 4:09:54,Mairead Enright,@maireadenright@mastodon.ie,@maireadenright@mastodon.ie ,feminist legal studies ,,,Yes

11/6/2022 4:13:48,Kehinde,@kehinde,@kehindeogunsin1,"Tort, property law","Canada, Australia and the United States.","

",Yes

11/6/2022 4:55:50,Preston Green,@DrPrestonGreen@mas.to,@DrPrestonGreen,Educational law,"American, EU",,Yes

11/6/2022 5:01:20,Astrid Reisinger Coracini,@Astrid.Coracini@bhre.social,@astrid.coracini,"International law, international criminal law, international humanitarian law, use of force, cultural heritage",International,University of Vienna,Yes

11/6/2022 5:01:46,Matthew Hickey OAM,@hickey_mt@zirk.us,hickey_my,"Commercial litigation, administrative law. ","Commonwealth, Queensland. ","Barrister, Brisbane. ",Yes

11/6/2022 5:02:52,Sean Fobbe,@seanfobbe@fediscience.org,@FobbeSean,"Legal Data Science, public international law, human rights, cultural heritage law","Public international law, Germany",Website: www.seanfobbe.com - also interested in quantitative peace research,Yes

11/6/2022 5:03:59,Luigi Prosperi,@Luigiprosperi@mastodon.social,https://mobile.twitter.com/Luigi_Prosperi,"International Criminal Law, Transnational Criminal Law, Public International Law, International Human Rights Law","International Criminal Court, international tribunals, domestic jurisdictions (universal jurisdiction)",Currently Lecturer in International Criminal Law at the University of Amsterdam (UvA),Yes

11/6/2022 5:40:26,Bev Williamson,@DrBevW,@DrBevW,Competition/Antitrust law,"Europe, UK, USA, Australia",,Yes

11/6/2022 5:47:11,Stefania Di Stefano,@stefaniasds@mastodon.social,@stefaniasds,"International law, international human rights law, business and human rights, international law and technology",International,PhD candidate at Geneva Graduate Institute working on regulation of freedom of expression online (focus on social media); Project Officer at Geneva Academy; Co-Convener @ESIL_Tech,Yes

11/6/2022 5:49:13,Noelle Quenivet,@noellequenivet@mastodon.social,@NoelleQuenivet1,"international humanitarian law, international criminal law, women and children in armed conflict",,,Yes

11/6/2022 6:04:40,Tegan Cohen,@tegan@aus.social,@teganlcohen,"Privacy law, tech law, IP",,Lecturer at QUT Law,Yes

11/6/2022 6:24:05,Jon Belcher ,@jonbelcher@toot.wales,@jon_belcher,"Data protection, FOI","England and Wales, UK, EU",Partner at Excello Law,Yes

11/6/2022 6:29:29,Maria O'Neill,@MariaONeill@mastodon.social,,EU law Transnational Criminal Law,Scotland UK EU Transnaitonal,University of Abertay Dundee Scotland UK,Yes
